"Period;Value"
"01/apr/2013;664"
"01/may/2013;821"
"01/jun/2013;724"
"01/jul/2013;705"
"01/aug/2013;1568"
"01/sep/2013;1106"
"01/oct/2013;718"
"01/nov/2013;742"
"01/dec/2013;1323"
"01/jan/2014;1479"
"01/feb/2014;727"
"01/mar/2014;680"
"01/apr/2014;679"
"01/may/2014;789"
"01/jun/2014;698"
"01/jul/2014;702"
"01/aug/2014;1698"
"01/sep/2014;1067"
"01/oct/2014;725"
"01/nov/2014;729"
"01/dec/2014;1335"
"01/jan/2015;1487"
"01/feb/2015;686"
"01/mar/2015;656"
"01/apr/2015;651"
"01/may/2015;750"
"01/jun/2015;683"
"01/jul/2015;692"
"01/aug/2015;1546"
"01/sep/2015;1063"
"01/oct/2015;718"
"01/nov/2015;724"
"01/dec/2015;1318"
"01/jan/2016;1424"
"01/feb/2016;687"
"01/mar/2016;681"
"01/apr/2016;671"
"01/may/2016;741"
"01/jun/2016;677"
"01/jul/2016;652"
"01/aug/2016;1496"
"01/sep/2016;1037"
"01/oct/2016;688"
"01/nov/2016;718"
"01/dec/2016;1244"
"01/jan/2017;1380"
"01/feb/2017;672"
"01/mar/2017;690"
"01/apr/2017;712"
"01/may/2017;766"
"01/jun/2017;685"
"01/jul/2017;647"
"01/aug/2017;1370"
"01/sep/2017;976"
"01/oct/2017;654"
"01/nov/2017;663"
"01/dec/2017;1114"
"01/jan/2018;1219"
"01/feb/2018;646"
"01/mar/2018;665"
"01/apr/2018;638"
"01/may/2018;707"
"01/jun/2018;647"
"01/jul/2018;620"
"01/aug/2018;1247"
"01/sep/2018;886"
"01/oct/2018;654"
"01/nov/2018;680"
"01/dec/2018;1149"
